FECHA,PARAUCO,CONCHATORO,ECL,VAPORES,IPSA
9/16/11,0.015,-0.025,0.021,0.016,-0.012
9/23/11,-0.089,-0.048,-0.052,-0.198,-0.070
9/30/11,0.014,0.033,0.032,-0.119,0.031
10/7/11,0.017,-0.061,-0.021,0.032,-0.006
10/14/11,0.054,0.056,0.017,0.157,0.036
10/21/11,0.036,0.036,0.028,-0.043,0.031
10/28/11,0.113,0.012,0.059,0.007,0.048
11/4/11,0.021,0.005,0.023,0.106,-0.013
11/11/11,-0.011,0.037,-0.030,0.000,0.016
11/18/11,-0.028,-0.006,-0.022,-0.054,-0.017
11/25/11,-0.075,-0.068,-0.035,-0.086,-0.073
12/2/11,0.047,0.086,0.052,-0.067,0.047
12/9/11,0.004,-0.025,-0.003,-0.071,0.011
12/16/11,-0.003,-0.046,0.015,-0.062,-0.011
12/23/11,0.001,0.054,0.004,0.000,0.014
12/30/11,0.002,-0.005,0.030,-0.017,-0.005
1/6/12,0.018,0.020,0.028,0.027,0.006
1/13/12,-0.018,0.033,-0.020,-0.019,0.001
1/20/12,0.022,0.026,0.014,0.000,0.017
1/27/12,0.020,-0.056,-0.020,-0.034,-0.012
2/3/12,0.021,0.081,0.009,0.019,0.037
2/10/12,-0.001,0.023,0.004,-0.014,0.007
2/17/12,0.039,-0.012,-0.008,0.141,0.031
2/24/12,0.011,-0.032,-0.015,-0.010,-0.007
3/2/12,0.037,0.017,-0.002,0.245,0.009
3/9/12,-0.022,0.002,-0.006,-0.015,-0.007
3/16/12,0.038,0.025,0.005,0.339,0.015
3/23/12,-0.015,0.003,-0.012,0.033,0.007
3/30/12,0.003,0.000,0.002,0.091,0.012
4/6/12,-0.015,-0.009,0.030,-0.048,-0.005
4/13/12,-0.029,-0.064,-0.038,-0.038,-0.026
4/20/12,-0.012,0.003,-0.010,-0.054,0.015
4/27/12,-0.009,-0.023,-0.014,0.015,-0.004
5/4/12,-0.021,-0.001,-0.019,0.005,-0.010
5/11/12,0.005,-0.013,-0.023,0.053,-0.012
5/18/12,-0.093,-0.061,-0.061,-0.107,-0.053
5/25/12,0.027,-0.046,0.012,0.016,0.004
6/1/12,-0.045,0.018,-0.011,-0.024,0.006
6/8/12,-0.019,-0.005,0.050,0.048,0.016
6/15/12,-0.007,-0.005,0.001,-0.014,-0.007
6/22/12,0.025,0.046,-0.040,0.076,0.009
6/29/12,0.005,0.033,0.004,0.020,0.009
7/6/12,0.037,0.009,-0.006,0.033,0.003
7/13/12,-0.103,-0.022,-0.055,-0.043,-0.009
7/20/12,0.033,-0.020,0.002,-0.032,0.003
7/27/12,-0.038,-0.030,-0.020,0.015,-0.030
8/3/12,-0.036,0.023,0.018,0.007,-0.014
8/10/12,0.011,-0.002,0.026,-0.024,-0.001
8/17/12,0.033,-0.002,0.035,0.036,0.018
8/24/12,-0.027,-0.006,-0.022,-0.034,-0.017
8/31/12,-0.030,0.010,0.006,-0.075,-0.008
9/7/12,0.000,0.005,-0.017,-0.014,0.003
9/14/12,0.031,0.006,0.029,-0.031,0.012
9/21/12,0.003,0.047,0.000,-0.013,0.003
9/28/12,0.046,-0.004,-0.020,-0.046,0.000
10/5/12,0.025,0.029,0.017,0.004,0.017
10/12/12,-0.016,-0.029,-0.003,-0.053,-0.013
10/19/12,-0.004,-0.006,0.038,0.018,0.005
10/26/12,0.020,-0.027,-0.029,-0.038,-0.004
11/2/12,-0.013,0.016,-0.006,0.041,0.004
11/9/12,0.040,-0.014,-0.001,-0.032,-0.007
11/16/12,-0.021,0.011,-0.023,-0.026,-0.012
11/23/12,-0.004,-0.026,-0.023,0.003,-0.010
11/30/12,-0.022,-0.010,-0.007,-0.030,-0.001
12/7/12,-0.018,0.005,0.014,0.019,-0.001
12/14/12,0.029,-0.003,-0.014,0.012,0.030
12/21/12,0.015,-0.009,0.010,0.007,0.007
12/28/12,-0.011,0.003,-0.001,-0.024,0.002
1/4/13,0.044,0.004,0.000,0.122,0.022
1/11/13,0.010,-0.001,-0.023,0.082,0.009
1/18/13,0.022,0.010,0.021,-0.017,0.020
1/25/13,-0.024,0.000,0.003,0.011,-0.005
2/1/13,0.083,0.010,-0.008,0.011,0.014
2/8/13,0.033,0.005,-0.003,-0.021,0.005
2/15/13,-0.007,0.000,-0.004,0.086,0.001
2/22/13,-0.006,0.018,-0.019,-0.052,-0.011
3/1/13,-0.019,0.012,-0.003,-0.005,0.006
3/8/13,0.010,0.001,-0.031,-0.044,-0.010
3/15/13,-0.028,-0.004,-0.036,-0.055,-0.026
3/22/13,0.046,-0.020,-0.019,0.051,0.009
3/29/13,0.011,-0.014,0.013,-0.038,-0.004
4/5/13,-0.047,-0.033,-0.032,-0.054,-0.036
4/12/13,0.039,-0.009,-0.005,0.019,0.014
4/19/13,-0.048,-0.001,-0.031,-0.043,-0.006
4/26/13,-0.022,-0.005,0.033,-0.034,-0.006
5/3/13,0.012,0.026,0.021,-0.009,0.014
5/10/13,0.017,0.009,0.026,0.048,-0.005
5/17/13,-0.039,0.031,-0.025,-0.018,-0.014
5/24/13,-0.024,0.003,-0.020,-0.053,-0.014
5/31/13,0.000,0.025,-0.029,-0.030,-0.001
6/7/13,-0.025,-0.015,-0.018,-0.010,-0.017
6/14/13,-0.015,-0.005,-0.050,-0.073,-0.031
6/21/13,-0.035,0.011,-0.006,-0.064,-0.042
6/28/13,0.004,0.005,-0.003,-0.015,0.054
7/5/13,-0.062,-0.017,-0.058,-0.048,-0.049
7/12/13,-0.076,-0.043,-0.048,-0.091,-0.024
7/19/13,0.041,0.009,0.061,-0.038,0.030
7/26/13,0.004,-0.013,-0.014,-0.009,-0.011
8/2/13,0.030,0.039,-0.032,-0.027,0.003
8/9/13,-0.030,0.025,-0.036,-0.015,-0.011
8/16/13,0.044,-0.049,-0.030,-0.001,-0.013
8/23/13,0.018,-0.006,-0.038,-0.073,-0.019
8/30/13,-0.016,-0.004,-0.051,-0.018,-0.009
9/6/13,0.021,0.065,0.094,0.081,0.047
9/13/13,0.015,-0.055,0.000,-0.039,-0.002
9/20/13,0.026,0.000,0.006,-0.013,0.008
9/27/13,0.024,0.044,0.010,0.100,0.014
10/4/13,-0.013,-0.039,-0.044,-0.036,-0.009
10/11/13,0.010,0.001,0.039,0.001,-0.001
10/18/13,-0.021,0.006,0.021,-0.074,0.003
10/25/13,-0.022,0.018,0.078,0.008,0.008
11/1/13,0.023,-0.026,-0.012,-0.007,0.009
11/8/13,-0.037,0.014,-0.077,0.088,-0.019
11/15/13,0.004,0.020,-0.020,-0.023,-0.010
11/22/13,-0.011,-0.030,-0.029,0.022,-0.017
11/29/13,-0.081,0.066,-0.004,-0.023,0.014
12/6/13,0.013,-0.061,-0.049,0.073,-0.022
12/13/13,-0.031,-0.024,-0.037,0.010,-0.013
12/20/13,-0.010,0.055,0.067,0.015,0.013
12/27/13,-0.005,0.021,-0.001,0.004,-0.002
1/3/14,-0.019,-0.029,-0.002,0.022,0.001
1/10/14,-0.007,-0.002,-0.033,0.015,-0.021
1/17/14,-0.026,-0.005,0.050,0.138,0.023
1/24/14,-0.049,0.069,0.004,-0.195,-0.029
1/31/14,-0.093,-0.016,-0.031,-0.148,-0.044
2/7/14,-0.015,0.099,0.035,0.019,0.013
2/14/14,0.129,-0.030,0.075,0.122,0.052
2/21/14,-0.026,0.025,-0.005,-0.011,-0.011
2/28/14,0.016,0.004,-0.006,0.060,0.025
3/7/14,-0.013,-0.009,-0.015,0.006,-0.006
3/14/14,-0.056,-0.006,-0.006,-0.044,-0.023
3/21/14,0.045,0.022,0.014,0.050,0.006
3/28/14,0.002,0.023,0.005,-0.015,0.035
4/4/14,0.118,-0.018,-0.028,-0.006,0.002
4/11/14,-0.001,0.072,0.036,0.032,0.027
4/18/14,0.008,-0.033,-0.030,0.013,0.007
4/25/14,-0.020,0.000,-0.026,-0.033,-0.018
